,BreedID,BreedName
0,0.0,
0,1.0,Affenpinscher
1,2.0,Afghan Hound
2,3.0,Airedale Terrier
3,4.0,Akbash
4,5.0,Akita
5,6.0,Alaskan Malamute
6,7.0,American Bulldog
7,8.0,American Eskimo Dog
8,9.0,American Hairless Terrier
9,10.0,American Staffordshire Terrier
10,11.0,American Water Spaniel
11,12.0,Anatolian Shepherd
12,13.0,Appenzell Mountain Dog
13,14.0,Australian Cattle Dog/Blue Heeler
14,15.0,Australian Kelpie
15,16.0,Australian Shepherd
16,17.0,Australian Terrier
17,18.0,Basenji
18,19.0,Basset Hound
19,20.0,Beagle
20,21.0,Bearded Collie
21,22.0,Beauceron
22,23.0,Bedlington Terrier
23,24.0,Belgian Shepherd Dog Sheepdog
24,25.0,Belgian Shepherd Laekenois
25,26.0,Belgian Shepherd Malinois
26,27.0,Belgian Shepherd Tervuren
27,28.0,Bernese Mountain Dog
28,29.0,Bichon Frise
29,30.0,Black and Tan Coonhound
30,31.0,Black Labrador Retriever
31,32.0,Black Mouth Cur
32,33.0,Black Russian Terrier
33,34.0,Bloodhound
34,35.0,Blue Lacy
35,36.0,Bluetick Coonhound
36,37.0,Boerboel
37,38.0,Bolognese
38,39.0,Border Collie
39,40.0,Border Terrier
40,41.0,Borzoi
41,42.0,Boston Terrier
42,43.0,Bouvier des Flanders
43,44.0,Boxer
44,45.0,Boykin Spaniel
45,46.0,Briard
46,47.0,Brittany Spaniel
47,48.0,Brussels Griffon
48,49.0,Bull Terrier
49,50.0,Bullmastiff
50,51.0,Cairn Terrier
51,52.0,Canaan Dog
52,53.0,Cane Corso Mastiff
53,54.0,Carolina Dog
54,55.0,Catahoula Leopard Dog
55,56.0,Cattle Dog
56,57.0,Caucasian Sheepdog (Caucasian Ovtcharka)
57,58.0,Cavalier King Charles Spaniel
58,59.0,Chesapeake Bay Retriever
59,60.0,Chihuahua
60,61.0,Chinese Crested Dog
61,62.0,Chinese Foo Dog
62,63.0,Chinook
63,64.0,Chocolate Labrador Retriever
64,65.0,Chow Chow
65,66.0,Cirneco dell'Etna
